Date,WT,DO,pH,EC,ORP
2022-05-18,22.8,3.51,10.07,144.35,380.8
2022-05-19,23.46,7.18,10.65,133.4,348.15
2022-05-20,22.86,4.8,10.66,127.18,343.41
2022-05-21,23.25,5.92,10.55,140.12,163.56
2022-05-25,23.6,7.69,10.71,126.7,127.9
2022-05-26,23.85,7.74,10.72,114.13,110.62
2022-05-27,23.97,7.77,10.73,124.83,107.68
2022-05-28,23.7,8.08,10.72,124.22,105.42
2022-06-01,25.2,8.12,10.74,111.3,100.9
2022-06-02,25.48,9.71,10.57,120.59,99.03
2022-06-03,25.36,8.32,10.58,130.87,83.97
2022-06-04,25.32,9.44,10.65,117.03,90.02
2022-06-07,25.5,9.91,10.54,143.94,80.9
2022-06-08,25.44,10.06,10.55,136.98,88.58
2022-06-09,25.46,10.82,10.74,137.7,83.76
2022-06-10,25.41,10.89,10.73,142.91,82.5
2022-06-13,25.4,11.16,10.81,136.54,103.4
2022-06-14,25.41,11.22,10.41,134.56,96.83
2022-06-15,25.55,11.16,10.13,136.15,89.53
2022-06-16,25.48,11.19,10.16,133.79,88.34
2022-06-20,25.6,11.24,9.79,133.52,79.4
2022-06-21,26.27,10.59,9.48,135.67,79.19
2022-06-22,26.76,8.05,9.68,150.74,78.73
2022-06-23,26.95,10.63,9.55,144.23,75.47
2022-06-27,27,7.84,9.45,154.75,74
2022-06-28,26.94,7.64,9.46,140.74,73.44
2022-06-29,26.55,7.06,9.49,154.51,73.21
2022-06-30,26.99,7.55,9.47,138.03,72.07
2022-07-04,26.5,6.92,9.5,132.19,71.7
2022-07-05,26.53,6.84,9.49,140.18,79.23
2022-07-06,27.0,6.8,9.49,144.69,72.74
2022-07-07,26.69,6.91,9.48,133.01,77.16
2022-07-10,27.3,6.72,9.47,149.91,80.4
2022-07-11,26.76,7.12,9.25,123.58,83.24
2022-07-12,26.6,6.74,9.35,141.48,84.22
2022-07-13,26.84,7.31,9.37,133.23,81.8
2022-07-17,26.5,8.52,9.25,123.4,114.4
2022-07-18,29.58,8.82,9.24,153.38,102.73
2022-07-19,27.87,8.78,9.25,130.16,89.01
2022-07-20,26.91,8.59,9.24,143.14,92.83
2022-07-25,30.7,9.05,9.24,158.58,83.2
2022-07-26,29.94,9.31,9.21,144.91,132.86
2022-07-27,27.62,9.09,9.22,142.62,230.73
2022-07-28,28.1,9.32,9.24,146.03,173.9
2022-08-08,27.1,9.59,9.21,139.29,346.5
2022-08-09,27.13,9.95,9.2,139.1,341.89
2022-08-10,27.11,9.94,9.19,137.06,338.3
2022-08-11,27.19,9.79,9.1,138.93,345.3
2022-08-16,27.2,10.14,9.09,135.49,311.5
2022-08-17,28.19,10.1,8.98,128.37,269.83
2022-08-18,28.25,9.9,9.02,123.44,173.3
2022-08-19,27.56,9.93,9.0,131.75,301.97
2022-08-22,28.6,9.71,8.83,116.11,125.5
2022-08-23,28.03,9.94,8.5,112.15,107.47
2022-08-24,27.21,9.79,8.7,115.69,100.69
2022-08-25,27.67,9.74,8.71,111.97,123.03
2022-08-29,27,10.13,8.46,111.77,93.7
2022-08-30,26.24,10.64,8.84,120.46,357.48
2022-08-31,26.32,10.61,9.28,142.94,312.14
2022-09-01,25.45,11.1,8.47,118.15,210.12
2022-09-05,24.7,11.24,9.33,149,373.6
2022-09-06,24.88,10.73,9.08,147.12,197.45
2022-09-07,24.89,11.22,9.15,148.87,161.48
2022-09-08,24.72,9.3,9.25,148.34,228.09
2022-09-12,25,8.94,8.45,140.1,140.2
2022-09-13,25.07,8.87,8.54,137.88,109.2
2022-09-14,25.65,8.66,8.52,138.32,99.21
2022-09-15,25.89,8.9,8.53,137.18,111.21
2022-09-17,25.9,8.37,8.54,132.88,99
2022-09-18,25.55,9.34,8.48,129.07,87.3
2022-09-19,25.45,9.3,8.47,126.08,91.72
2022-09-20,25.81,9.1,8.32,131.62,89.02
2022-09-25,25.3,9.38,8.28,125.17,82.1
2022-09-26,26.2,9.56,8.69,141.08,76.34
2022-09-27,26.71,9.53,8.47,130.22,78.64
2022-09-28,25.94,9.83,8.32,130.72,77.42
2022-10-01,26.9,9.84,8.81,152.72,74.5
2022-10-02,26.53,9.93,8.27,152.03,85.66
2022-10-03,26.68,9.93,8.03,152.22,97.98
2022-10-04,26.78,9.93,8.66,145.98,76.76
2022-10-08,25.6,9.95,7.94,144.6,101.1
2022-10-09,24.73,9.96,8.26,143.86,239.25
2022-10-10,24.29,10.07,8.2,144.18,193.73
2022-10-11,25.07,9.96,8.07,144.54,260.62
2022-10-16,24.1,10.11,8.29,140.46,262.6
